created_at,text,retweet_count,favorite_count,hashtags,mentions,latitude,longitude,source-url,url
2016-07-07 17:09:58+00:00,@BillGates 25 years of learning and fun and more to come. Friendships are what count.,1039,4181,[],['BillGates'],,,http://twitter.com,
2016-04-29 14:33:15+00:00,Join me on Saturday at 10a ET for the first ever #BRKLiveStream on @YahooFinance https://t.co/u2wsogF7zn https://t.co/RPKqhniVTD,1864,9340,['BRKLiveStream'],['YahooFinance'],,,http://twitter.com,https://t.co/u2wsogF7zn
2015-05-22 19:04:43+00:00,"Better than raising the minimum wage, let's help Americans with an expansion of the Earned Income Tax Credit: http://t.co/XCLbi7VWfG",3401,10213,[],[],,,http://twitter.com,http://t.co/XCLbi7VWfG
2015-03-05 17:08:13+00:00,"Mary Rhinehart, a Berkshire CEO, is successfully running a $2.5B company in a male-dominated field #LeanInTogether http://t.co/MNgeXvee18",2815,11431,['LeanInTogether'],[],,,http://twitter.com,
2014-02-24 14:12:58+00:00,Two personal investments and what you can learn from them: http://t.co/vwWfFvmTVb,3735,7325,[],[],,,http://twitter.com,http://t.co/vwWfFvmTVb
2013-09-30 01:02:46+00:00,Not even the Oracle knows what will happen tonight. #waltsuccessor http://t.co/EM8gIzZib5,4751,8179,['waltsuccessor'],[],,,http://twitter.com,
2013-06-10 23:43:29+00:00,Hello @Hillaryclinton! Happy to welcome one of my favorite women in the world to twitter. #45,1645,2402,[],['HillaryClinton'],,,http://twitter.com,
2013-05-02 19:56:47+00:00,Read my new essay on why women are key to America's prosperity: http://t.co/sGCZoC3Lbm.,10926,8775,[],[],,,http://twitter.com/#!/download/ipad,http://t.co/sGCZoC3Lbm
2013-05-02 16:20:04+00:00,Warren is in the house.,34635,22361,[],[],,,http://twitter.com/#!/download/ipad,
